Site,Plot,Area Sampled (m2),Species,BD_cm,Stem Bio (g dry wt),Branch Bio (g dry wt),New Growth Bio (g dry wt),Tot Bio CALC ALLOM (g dry wt),Tot Bio SUM COMP (g dry wt),Stem Bio (g C m-2),Branch Bio (g C m-2),New Growth Bio (g C m-2),Tot Bio CALC ALLOM (g C m-2),Tot Bio SUM COMP (g C m-2)
LDF1,3,5,Betula,0.71,7.79,1.43,1.97,10.16,11.19,0.73,0.13,0.19,0.96,1.05
LDF1,3,5,Betula,0.99,17.06,5.50,4.46,27.27,27.02,1.60,0.52,0.42,2.56,2.54
LDF1,3,5,Betula,1.01,17.89,5.97,4.68,28.94,28.53,1.68,0.56,0.44,2.72,2.68
LDF1,3,5,Betula,0.65,6.32,1.00,1.59,7.82,8.91,0.59,0.09,0.15,0.73,0.84
LDF1,3,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDF1,3,5,Betula,0.94,15.10,4.46,3.93,23.38,23.48,1.42,0.42,0.37,2.20,2.21
LDF1,3,5,Betula,0.95,15.48,4.65,4.03,24.13,24.16,1.45,0.44,0.38,2.27,2.27
LDF1,3,5,Betula,0.9,13.62,3.74,3.53,20.55,20.89,1.28,0.35,0.33,1.93,1.96
LDF1,3,5,Betula,1.7,61.12,49.41,16.77,135.88,127.29,5.74,4.64,1.58,12.77,11.97
LDF1,3,5,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.04,0.00,0.01,0.02,0.05
LDF1,3,5,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.49,0.07,0.12,0.58,0.68
