Site,Trans,Plot_wdth,Plot_area,BD,DBH,Mass,Mass-C,
PPB,2,1,20,NA,5.8,6051,2862,
PPB,2,1,20,NA,0.4,34,16,
PPB,2,1,20,NA,2.5,1137,537,
PPB,2,1,20,NA,0.4,34,16,
PPB,2,1,20,NA,5.0,4496,2127,
PPB,2,1,20,NA,1.5,419,198,
PPB,2,1,20,NA,1.9,663,313,
PPB,2,1,20,NA,3.6,2337,1105,
PPB,2,1,20,NA,3.7,2468,1167,
PPB,2,1,20,NA,6.8,8325,3938,
PPB,2,1,20,NA,2.3,965,456,
PPB,2,1,20,NA,2.2,884,418,
PPB,2,1,20,NA,2.4,1049,496,
PPB,2,1,20,NA,3.6,2337,1105,
PPB,2,1,20,NA,4.9,4319,2042,
PPB,2,1,20,NA,1.4,366,173,
PPB,2,1,20,NA,4.2,3176,1502,
PPB,2,1,20,NA,2.6,1228,580,
PPB,2,1,20,NA,1.5,419,198,
PPB,2,1,20,NA,2.1,807,381,
PPB,2,1,20,NA,7.2,9338,4418,
PPB,2,1,20,NA,0.9,157,74,
PPB,2,1,20,NA,0.5,52,24,
PPB,2,1,20,NA,2.3,965,456,
PPB,2,1,20,NA,2.0,733,346,
PPB,2,1,20,NA,0.8,125,59,
PPB,2,1,20,NA,1.4,366,173,
PPB,3,1,20,0.6,NA,21,10,
PPB,3,1,20,0.6,NA,21,10,
PPB,3,1,20,0.6,NA,21,10,
PPB,3,1,20,0.7,NA,27,13,
PPB,3,1,20,0.7,NA,27,13,
PPB,3,1,20,0.8,NA,35,16,
PPB,3,1,20,0.9,NA,44,21,
PPB,3,1,20,1.0,NA,53,25,
PPB,3,1,20,1.0,NA,53,25,
PPB,3,1,20,1.1,NA,64,30,
PPB,3,1,20,1.1,NA,64,30,
PPB,3,1,20,1.3,NA,89,42,
PPB,3,1,20,1.4,NA,103,48,
PPB,3,1,20,1.7,NA,151,71,
PPB,3,1,20,NA,0.7,97,46,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,1.5,419,198,
PPB,3,1,20,NA,2.4,1049,496,
PPB,3,1,20,NA,1.5,419,198,
PPB,3,1,20,NA,3.0,1629,770,
PPB,3,1,20,NA,1.4,366,173,
PPB,3,1,20,NA,0.9,157,74,
PPB,3,1,20,NA,3.7,2468,1167,
PPB,3,1,20,NA,3.8,2602,1230,
PPB,3,1,20,NA,1.7,534,252,
PPB,3,1,20,NA,3.2,1850,875,
PPB,3,1,20,NA,2.9,1523,720,
PPB,3,1,20,NA,0.7,97,46,
PPB,3,1,20,NA,5.7,5844,2764,
PPB,3,1,20,NA,1.6,475,224,
PPB,3,1,20,NA,2.1,807,381,
PPB,3,1,20,NA,3.1,1738,821,
PPB,3,1,20,NA,1.8,597,282,
PPB,3,1,20,NA,0.8,125,59,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,0.6,73,34,
PPB,3,1,20,NA,2.9,1523,720,
PPB,3,1,20,NA,4.0,2882,1363,
PPB,3,1,20,NA,1.8,597,282,
PPB,3,1,20,NA,3.1,1738,821,
PPB,3,1,20,NA,0.6,73,34,
PPB,3,1,20,NA,0.3,20,10,
PPB,3,1,20,NA,2.0,733,346,
PPB,3,1,20,NA,1.6,475,224,
PPB,3,1,20,NA,3.1,1738,821,
PPB,3,1,20,NA,1.4,366,173,
PPB,3,1,20,NA,1.5,419,198,
PPB,3,1,20,NA,6.2,6916,3272,
PPB,3,1,20,NA,1.2,272,128,
PPB,3,1,20,NA,0.7,97,46,
PPB,3,1,20,NA,0.8,125,59,
PPB,3,1,20,NA,1.3,317,150,
PPB,3,1,20,NA,4.2,3176,1502,
PPB,3,1,20,NA,1.6,475,224,
PPB,3,1,20,NA,2.6,1228,580,
PPB,3,1,20,NA,2.0,733,346,
PPB,3,1,20,NA,6.0,6476,3063,
PPB,3,1,20,NA,1.0,192,90,
PPB,3,1,20,NA,2.2,884,418,
PPB,3,1,20,NA,1.9,663,313,
PPB,3,1,20,NA,2.1,807,381,
PPB,3,1,20,NA,2.9,1523,720,
PPB,3,1,20,NA,2.9,1523,720,
PPB,3,1,20,NA,0.4,34,16,
PPB,3,1,20,NA,0.7,97,46,
PPB,3,1,20,NA,3.4,2087,986,
PPB,3,1,20,NA,3.4,2087,986,
PPB,3,1,20,NA,0.7,97,46,
PPB,3,1,20,NA,3.4,2087,986,
PPB,3,1,20,NA,1.0,192,90,
PPB,3,1,20,NA,0.7,97,46,
PPB,3,1,20,NA,3.9,2740,1296,
PPB,3,1,20,NA,1.4,366,173,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,1.3,317,150,
PPB,3,1,20,NA,1.4,366,173,
PPB,3,1,20,NA,4.1,3027,1431,
PPB,3,1,20,NA,2.4,1049,496,
PPB,3,1,20,NA,0.6,73,34,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,1.7,534,252,
PPB,3,1,20,NA,1.5,419,198,
PPB,3,1,20,NA,4.2,3176,1502,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,3.3,1967,930,
PPB,3,1,20,NA,3.8,2602,1230,
PPB,3,1,20,NA,2.1,807,381,
PPB,3,1,20,NA,2.1,807,381,
PPB,3,1,20,NA,5.5,5440,2573,
PPB,3,1,20,NA,0.8,125,59,
PPB,3,1,20,NA,4.9,4319,2042,
PPB,3,1,20,NA,4.4,3484,1647,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,1.5,419,198,
PPB,3,1,20,NA,1.3,317,150,
PPB,3,1,20,NA,1.1,230,108,
PPB,3,1,20,NA,6.4,7371,3487,
PPYB,1,1,20,1.7,NA,134,73,
PPYB,1,1,20,0.9,NA,30,20,
PPYB,1,1,20,0.9,NA,30,20,
PPYB,1,1,20,1.5,NA,93,53,
PPYB,1,1,20,1.4,NA,84,48,
PPYB,1,1,20,1.5,NA,103,57,
PPYB,1,1,20,NA,4.6,3930,1838,
PPYB,1,1,20,NA,2.9,1553,734,
PPYB,1,1,20,NA,1.8,573,277,
PPYB,1,1,20,NA,2.5,1173,557,
PPYB,1,1,20,NA,1.3,291,144,
PPYB,1,1,20,NA,1.1,223,111,
PPYB,1,1,20,NA,5.2,4904,2290,
PPYB,1,1,20,NA,5.6,5657,2640,
PPYB,1,1,20,NA,1.9,680,327,
PPYB,1,1,20,NA,0.9,153,78,
PPYB,1,1,20,NA,2.2,846,404,
PPYB,1,1,20,NA,4.5,3665,1714,
PPYB,1,1,20,NA,1.7,513,248,
PPYB,1,1,20,NA,3.1,1692,798,
PPYB,1,1,20,NA,1.2,249,124,
PPYB,1,1,20,NA,3.8,2650,1243,
PPYB,1,1,20,NA,2.3,976,465,
PPYB,1,1,20,NA,2.4,1058,503,
PPYB,1,1,20,NA,5.0,4607,2152,
PPYB,1,1,20,NA,1.8,615,296,
PPYB,1,1,20,NA,5.2,4965,2318,
PPYB,1,1,20,NA,4.2,3161,1480,
PPYB,1,1,20,NA,2.2,846,404,
PPYB,1,1,20,NA,6.4,7399,3450,
PPYB,1,1,20,NA,5.3,5026,2346,
PPYB,1,1,20,NA,3.9,2695,1264,
PPYB,1,1,20,NA,3.4,2105,990,
PPYB,1,1,20,NA,1.5,386,189,
PPYB,1,1,20,NA,1.1,223,111,
PPYB,1,1,20,NA,0.9,142,72,
PPYB,1,1,20,NA,4.2,3210,1503,
PPYB,1,1,20,NA,1.4,337,165,
PPYB,1,1,20,NA,2.7,1325,628,
PPYB,1,1,20,NA,1.0,186,94,
PPYB,1,1,20,NA,4.3,3308,1549,
PPYB,1,1,20,NA,5.1,4725,2206,
PPYB,1,1,20,NA,2.6,1233,585,
PPYB,1,1,20,NA,4.0,2877,1348,
PPYB,1,1,20,NA,2.9,1486,703,
PPYB,1,1,20,NA,1.9,658,316,
PPYB,1,1,20,NA,7.5,10407,4853,
PPYB,1,1,20,NA,5.4,5337,2491,
PPYB,1,1,20,NA,2.6,1263,599,
PPYB,2,1,20,1.8,NA,140,75,
PPYB,2,1,20,1.0,NA,36,23,
PPYB,2,1,20,1.8,NA,140,75,
PPYB,2,1,20,1.3,NA,76,44,
PPYB,2,1,20,1.1,NA,50,31,
PPYB,2,1,20,1.3,NA,68,40,
PPYB,2,1,20,NA,1.9,658,316,
PPYB,2,1,20,NA,1.8,552,267,
PPYB,2,1,20,NA,6.3,7251,3381,
PPYB,2,1,20,NA,2.3,976,465,
PPYB,2,1,20,NA,4.5,3717,1738,
PPYB,2,1,20,NA,3.1,1764,832,
PPYB,2,1,20,NA,1.0,163,83,
PPYB,2,1,20,NA,6.7,8161,3805,
PPYB,2,1,20,NA,1.3,291,144,
PPYB,2,1,20,NA,3.1,1764,832,
PPYB,2,1,20,NA,3.6,2390,1123,
PPYB,2,1,20,NA,3.4,2105,990,
PPYB,2,1,20,NA,1.4,369,181,
PPYB,2,1,20,NA,3.2,1837,866,
PPYB,2,1,20,NA,2.4,1058,503,
PPYB,2,1,20,NA,4.0,2877,1348,
PPYB,2,1,20,NA,5.9,6326,2951,
PPYB,2,1,20,NA,3.3,1988,936,
PPYB,2,1,20,NA,4.8,4150,1939,
PPYB,2,1,20,NA,3.0,1657,782,
PPYB,2,1,20,NA,1.3,291,144,
PPYB,2,1,20,NA,2.5,1173,557,
PPYB,2,1,20,NA,9.2,15398,7186,
PPYB,2,1,20,NA,1.0,163,83,
PPYB,2,1,20,NA,2.9,1486,703,
PPYB,2,1,20,NA,3.0,1657,782,
PPYB,2,1,20,NA,4.3,3308,1549,
PPYB,2,1,20,NA,4.6,3930,1838,
PPYB,2,1,20,NA,1.1,223,111,
PPYB,2,1,20,NA,1.7,513,248,
PPYB,2,1,20,NA,3.9,2695,1264,
PPYB,2,1,20,NA,1.7,493,239,
PPYB,2,1,20,NA,0.7,96,50,
PPYB,2,1,20,NA,7.4,10057,4689,
PPYB,2,1,20,NA,4.9,4375,2044,
PPYB,2,1,20,NA,2.4,1003,478,
PPYB,2,1,20,NA,4.0,2923,1370,
PPYB,2,1,20,NA,1.8,615,296,
PPYB,2,1,20,NA,2.6,1203,571,
PPYB,2,1,20,NA,5.3,5212,2433,
PPYB,2,1,20,NA,5.4,5274,2462,
PPYB,2,1,20,NA,2.9,1486,703,
PPYB,2,1,20,NA,3.4,2065,972,
PPYB,2,1,20,NA,2.5,1173,557,
PPYB,2,1,20,NA,1.4,369,181,
PPYB,2,1,20,NA,4.0,2877,1348,
PPYB,2,1,20,NA,8.9,14551,6789,
PPYB,3,1,20,1.8,NA,140,75,
PPYB,3,1,20,1.3,NA,68,40,
PPYB,3,1,20,1.4,NA,80,46,
PPYB,3,1,20,1.1,NA,50,31,
PPYB,3,1,20,NA,1.0,163,83,
PPYB,3,1,20,NA,2.5,1173,557,
PPYB,3,1,20,NA,0.9,132,68,
PPYB,3,1,20,NA,5.6,5788,2701,
PPYB,3,1,20,NA,8.4,13026,6076,
PPYB,3,1,20,NA,5.4,5337,2491,
PPYB,3,1,20,NA,1.6,456,222,
PPYB,3,1,20,NA,2.5,1144,543,
PPYB,3,1,20,NA,5.1,4784,2234,
PPYB,3,1,20,NA,0.9,132,68,
PPYB,3,1,20,NA,4.9,4433,2071,
PPYB,3,1,20,NA,7.3,9799,4569,
PPYB,3,1,20,NA,1.3,291,144,
PPYB,3,1,20,NA,6.1,6745,3146,
PPYB,3,1,20,NA,2.0,726,348,
PPYB,3,1,20,NA,0.5,52,28,
PPYB,3,1,20,NA,1.4,369,181,
PPYB,3,1,20,NA,1.1,210,105,
PPYB,3,1,20,NA,1.9,680,327,
PPYB,3,1,20,NA,1.4,337,165,
PPYB,3,1,20,NA,3.5,2225,1046,
PPYB,3,1,20,NA,0.8,113,58,
PPYB,3,1,20,NA,1.2,263,130,
PPYB,3,1,20,NA,2.4,1030,490,
PPYB,3,1,20,NA,1.5,386,189,
PPYB,3,1,20,NA,2.9,1486,703,
PPYB,3,1,20,NA,0.7,88,46,
PPYB,3,1,20,NA,0.7,88,46,
PPYB,3,1,20,NA,0.9,132,68,
PPYB,3,1,20,NA,5.3,5026,2346,
PPYB,3,1,20,NA,5.2,4844,2262,
PPYB,3,1,20,NA,2.6,1263,599,
PPYB,3,1,20,NA,1.5,403,197,
PPYB,3,1,20,NA,3.7,2433,1142,
PPYB,3,1,20,NA,0.9,142,72,
PPYB,3,1,20,NA,3.7,2519,1182,
PPYB,3,1,20,NA,0.8,123,63,
PPYB,3,1,20,NA,2.0,726,348,
PPYB,3,1,20,NA,1.7,532,258,
PPYB,3,1,20,NA,3.7,2519,1182,
PPYB,3,1,20,NA,3.3,2026,954,
PPYB,3,1,20,NA,3.5,2225,1046,
PPYB,3,1,20,NA,7.3,9628,4489,
PPYB,3,1,20,NA,2.3,976,465,
PPYB,3,1,20,NA,0.9,132,68,
PPYB,3,1,20,NA,4.6,3770,1763,
SYB,1,2,40,0.4,NA,11,5,
SYB,1,2,40,0.6,NA,18,9,
SYB,1,2,40,0.6,NA,20,9,
SYB,1,2,40,0.6,NA,21,10,
SYB,1,2,40,0.7,NA,25,12,
SYB,1,2,40,0.7,NA,27,12,
SYB,1,2,40,0.7,NA,27,13,
SYB,1,2,40,0.7,NA,27,13,
SYB,1,2,40,0.9,NA,39,18,
SYB,1,2,40,0.9,NA,41,19,
SYB,1,2,40,0.9,NA,45,21,
SYB,1,2,40,0.9,NA,45,21,
SYB,1,2,40,0.9,NA,46,21,
SYB,1,2,40,1.0,NA,50,24,
SYB,1,2,40,1.1,NA,59,28,
SYB,1,2,40,1.1,NA,66,31,
SYB,1,2,40,1.1,NA,68,32,
SYB,1,2,40,1.2,NA,73,35,
SYB,1,2,40,1.3,NA,83,39,
SYB,1,2,40,1.3,NA,85,40,
SYB,1,2,40,1.3,NA,91,43,
SYB,1,2,40,1.4,NA,97,46,
SYB,1,2,40,1.4,NA,98,46,
SYB,1,2,40,1.4,NA,103,48,
SYB,1,2,40,1.5,NA,119,56,
SYB,1,2,40,1.6,NA,127,60,
SYB,1,2,40,1.6,NA,134,63,
SYB,1,2,40,1.7,NA,145,69,
SYB,1,2,40,1.8,NA,160,75,
SYB,1,2,40,2.0,NA,207,98,
SYB,1,2,40,NA,1.1,238,112,
SYB,1,2,40,NA,0.5,52,24,
SYB,1,2,40,NA,0.8,116,55,
SYB,1,2,40,NA,1.0,195,92,
SYB,1,2,40,NA,1.6,469,221,
SYB,1,2,40,NA,1.5,435,205,
SYB,1,2,40,NA,0.3,25,12,
SYB,1,2,40,NA,0.5,52,24,
SYB,1,2,40,NA,2.8,1371,648,
SYB,1,2,40,NA,2.6,1219,576,
SYB,2,2,40,0.9,NA,43,20,
SYB,2,2,40,1.1,NA,65,31,
SYB,2,2,40,1.4,NA,98,46,
SYB,2,2,40,1.6,NA,130,61,
SYB,2,2,40,NA,0.4,34,16,
SYB,3,2,40,0.8,NA,31,15,
SYB,3,2,40,0.8,NA,37,17,
SYB,3,2,40,1.1,NA,64,30,
SYB,3,2,40,1.4,NA,101,48,
SYB,3,2,40,1.8,NA,169,80,
SYB,3,2,40,NA,1.7,534,252,
SYB,3,2,40,NA,2.6,1256,593,
TB1,NA,NA,NA,NA,0.0,0,0,
TB2,NA,NA,NA,NA,0.0,0,0,
TB3,NA,4,80,NA,0.0,0,0,
TB4,NA,4,80,NA,0.0,0,0,
TBC,NA,NA,NA,NA,0.0,0,0,
TBC2,NA,4,80,NA,0.0,0,0,
TBC3,NA,4,80,NA,0.0,0,0,
TBC4,NA,4,80,NA,0.0,0,0,
